iter	RMSE
173	3.100052708
174	3.094334973
175	3.089377155
176	3.084975116
177	3.080762392
178	3.0784525
179	3.067147372
180	3.065264079
181	3.059587453
182	3.05470269
183	3.047467597
184	3.046900629
185	3.042198258
186	3.040021817
187	3.03901332
188	3.028955586
189	3.028480973
190	3.027796349
191	3.024280555
192	3.018422502
193	3.011806964
194	3.011197791
195	3.006602951
196	2.999473469
197	2.998432159
198	2.992921491
199	2.992330733
200	2.986979681
201	2.983237794
202	2.978919055
203	2.975278861
204	2.972548513
205	2.969911332
206	2.967669046
207	2.963364319
208	2.960230582
209	2.959872238
210	2.953923754
211	2.949647205
212	2.947438587
213	2.945260684
214	2.942707947
215	2.940178335
216	2.938396653
217	2.934103113
218	2.930862088
219	2.925573588
220	2.923977118
221	2.922104757
222	2.915526811
223	2.90866154
224	2.902306739
225	2.901672195
226	2.898687028
227	2.894806073
228	2.888628145
229	2.882765243
230	2.877010294
231	2.876048599
232	2.874690608
233	2.86987745
234	2.867802626
235	2.866677819
236	2.863469792
237	2.861240633
238	2.858633619
239	2.856457765
240	2.85045369
241	2.846963006
242	2.844149317
243	2.838964947
244	2.836511763
245	2.834227968
246	2.832568957
247	2.831440575
248	2.826959216
249	2.826098625
250	2.824527571
251	2.823427501
252	2.820888755
253	2.814747184
254	2.810589843
255	2.80616406
256	2.805636864
257	2.802881854
258	2.800344439
259	2.798420705
260	2.796890261
261	2.794987395
262	2.791677004
263	2.787004507
264	2.78303432
265	2.776174913
266	2.769259344
267	2.76610489
268	2.760594455
269	2.757065068
270	2.752276843
271	2.751335602
272	2.751200675
273	2.74868831
274	2.745693049
275	2.74295541
276	2.740272944
277	2.739804425
278	2.73936915
279	2.732245998
280	2.732049509
281	2.729816661
282	2.72809688
283	2.726097752
284	2.724782387
285	2.722072699
286	2.718328181
287	2.714355403
288	2.712785377
289	2.711367978
290	2.709146761
291	2.704013163
292	2.701381794
293	2.694653263
294	2.694528
295	2.692112314
296	2.688277089
297	2.684129891
298	2.68171488
299	2.680520994
300	2.677864756
301	2.67768922
302	2.676273639
303	2.675545527
304	2.673556737
305	2.67162559
306	2.670436671
307	2.668759138
308	2.664679628
309	2.661184473
310	2.658701838
311	2.656876547
312	2.653091695
313	2.652108464
314	2.650402926
315	2.649612323
316	2.645411728
317	2.644087399
318	2.639461719
319	2.637531275
320	2.635071775
321	2.634211841
322	2.633045956
323	2.630049802
324	2.625618393
325	2.624315388
326	2.621523172
327	2.619082047
328	2.614804076
329	2.611724017
330	2.610748949
331	2.609685905
332	2.60748512
333	2.607294114
334	2.606373063
335	2.605415689
336	2.603549972
337	2.600846029
338	2.596691958
339	2.594593868
340	2.591252652
341	2.589315758
342	2.587319369
343	2.586702053
344	2.584476954
345	2.584027997
346	2.581414386
347	2.577639732
348	2.572931918
349	2.570742891
350	2.568509138
351	2.564891146
352	2.560055753
353	2.55956607
354	2.559100802
355	2.557614714
356	2.556246357
357	2.55218771
358	2.549809741
359	2.546109337
360	2.542925889
361	2.54086443
362	2.537220045
363	2.53709604
364	2.53403593
365	2.533790163
366	2.531692941
367	2.526912087
368	2.522405797
369	2.519318541
370	2.516678439
371	2.514014102
372	2.512697646
373	2.509982503
374	2.508536677
375	2.508295519
376	2.505686551
377	2.504718012
378	2.503391365
379	2.500509747
380	2.49880659
381	2.497988341
382	2.495812026
383	2.494694583
384	2.493183788
385	2.493096883
386	2.48889786
387	2.485244055
388	2.483991246
389	2.481534751
390	2.478579371
391	2.476057176
392	2.473531678
393	2.472844876
394	2.471225154
395	2.469911535
396	2.469570174
397	2.46729399
398	2.464955392
399	2.462331806
400	2.462137696
401	2.460868078
402	2.460355119
403	2.458643904
404	2.456679653
405	2.455481764
406	2.453686948
407	2.453253625
408	2.451180102
409	2.449423843
410	2.446590099
411	2.444435012
412	2.441544888
413	2.439303237
414	2.438564547
415	2.437906454
416	2.434896819
417	2.433248479
418	2.431397733
419	2.430301835
420	2.429590985
421	2.428598899
422	2.427686559
423	2.42436196
424	2.423063876
425	2.420349003
426	2.418238654
427	2.417105862
428	2.416952572
429	2.415656842
430	2.413968803
431	2.41300902
432	2.411869604
433	2.411365511
434	2.409247114
435	2.407042644
436	2.405722515
437	2.402282823
438	2.400789245
439	2.400727851
440	2.39921065
441	2.398427069
442	2.397445795
443	2.396407897
444	2.39407297
445	2.393324236
446	2.391276122
447	2.388232592
448	2.387228592
449	2.385405366
450	2.385264321
451	2.384462145
452	2.383755895
453	2.382050227
454	2.37945708
455	2.378739878
456	2.377786214
457	2.376289977
458	2.373071489
459	2.371222655
460	2.370877769
461	2.368522042
462	2.366673671
463	2.364513969
464	2.362388626
465	2.359232797
466	2.356388995
467	2.355296952
468	2.354408346
469	2.353162171
470	2.351945812
471	2.351194249
472	2.35025807
473	2.347123614
474	2.345025856
475	2.342175817
476	2.33923547
477	2.337895886
478	2.335526558
479	2.333670621
480	2.333560807
481	2.332587062
482	2.329839947
483	2.32653642
484	2.32539059
485	2.323901782
486	2.32293739
487	2.320640005
488	2.318108331
489	2.315195538
490	2.314872533
491	2.312343749
492	2.310701423
493	2.309052072
494	2.307662192
495	2.306618841
496	2.305641492
497	2.304616467
498	2.303783651
499	2.300928439
500	2.300533645
501	2.299240359
502	2.298333971
503	2.296400408
504	2.296285013
505	2.293738494
506	2.292977321
507	2.291489391
508	2.289315535
509	2.287809323
510	2.286352609
511	2.286050805
512	2.285483401
513	2.283678083
514	2.282310529
515	2.280407651
516	2.279102442
517	2.27865833
518	2.277720769
519	2.27680764
520	2.274146242
521	2.272690384
522	2.272511523
523	2.270628108
524	2.268938257
525	2.268511034
526	2.265707068
527	2.26474328
528	2.262908942
529	2.262267954
530	2.260875542
531	2.259546172
532	2.258638329
533	2.257821218
534	2.256057224
535	2.254827229
536	2.253701356
537	2.252381341
538	2.250537071
539	2.249967861
540	2.249370201
541	2.247968355
542	2.247076173
543	2.245430173
544	2.243333057
545	2.242288696
546	2.241690394
547	2.239194362
548	2.237010348
549	2.235687379
550	2.234513142
551	2.23392453
552	2.231728011
553	2.23017062
554	2.226199132
555	2.224659858
556	2.223459822
557	2.222051474
558	2.220408326
559	2.219285216
560	2.218588623
561	2.218153751
562	2.216533828
563	2.214790977
564	2.214385432
565	2.213995422
566	2.213525079
567	2.212845429
568	2.212772092
569	2.211754676
570	2.20991638
571	2.209536493
572	2.207858069
573	2.207031396
574	2.20568366
575	2.204698241
576	2.203695904
577	2.202686149
578	2.200698537
579	2.199453923
580	2.197903494
581	2.197838591
582	2.196892965
583	2.195128073
584	2.193743745
585	2.193042128
586	2.192276686
587	2.190725484
588	2.189814949
589	2.188024719
590	2.186964886
591	2.18644635
592	2.184675466
593	2.18284709
594	2.182286386
595	2.180717223
596	2.179942723
597	2.178843534
598	2.177496299
599	2.175707827
600	2.173368693
601	2.171865871
602	2.171056121
603	2.169380069
604	2.168614715
605	2.167637773
606	2.167094485
607	2.166515972
608	2.165013387
609	2.163440527
610	2.161868635
611	2.161478895
612	2.161395306
613	2.159042226
614	2.157701287
615	2.156669399
616	2.155300789
617	2.154546599
618	2.153215588
619	2.152100528
620	2.150824
621	2.149742815
622	2.148574128
623	2.147884847
624	2.147842972
625	2.146663621
626	2.145876278
627	2.143525248
628	2.14348843
629	2.142811612
630	2.14228313
631	2.141371138
632	2.13979313
633	2.137168135
634	2.135603699
635	2.135354672
636	2.134532739
637	2.133405369
638	2.132757706
639	2.130959065
640	2.130565773
641	2.129185693
642	2.128093573
643	2.127810036
644	2.126483808
645	2.122794625
646	2.122139639
647	2.121207916
648	2.120064085
649	2.117865527
650	2.116744323
651	2.116325615
652	2.115533049
653	2.115239453
654	2.114831776
655	2.11200007
656	2.109509433
657	2.107916679
658	2.106665325
659	2.104045408
660	2.102220469
661	2.100457226
662	2.098918554
663	2.098264359
664	2.097608342
665	2.096815236
666	2.095628448
667	2.095131894
668	2.092973998
669	2.091944452
670	2.091405354
671	2.089898893
672	2.089747194
673	2.088901548
674	2.088244495
675	2.087426929
676	2.086134619
677	2.085697647
678	2.085154676
679	2.083923319
680	2.083334466
681	2.080452711
682	2.079928943
683	2.079632603
684	2.079111013
685	2.079053531
686	2.078084604
687	2.077510347
688	2.075623777
689	2.07483421
690	2.074065154
691	2.073894722
692	2.073586879
693	2.072439981
694	2.071387574
695	2.071238812
696	2.069488338
697	2.067346394
698	2.066060806
699	2.065752547
700	2.064059517
701	2.062975557
702	2.061166981
703	2.060424569
704	2.059623151
705	2.057593457
706	2.055784372
707	2.053880236
708	2.051825167
709	2.051474921
710	2.050689002
711	2.048635604
712	2.04813863
713	2.04766684
714	2.047475872
715	2.046604277
716	2.045890729
717	2.045379568
718	2.04454569
719	2.043679602
720	2.042394617
721	2.04165552
722	2.040837419
723	2.039891317
724	2.039824419
725	2.039344461
726	2.039064231
727	2.036046461
728	2.034126531
729	2.033688279
730	2.032440173
731	2.032206463
732	2.031732767
733	2.031202998
734	2.030826734
735	2.029481047
736	2.028562656
737	2.027382079
738	2.025800874
739	2.025608804
740	2.02481257
741	2.023437948
742	2.023029186
743	2.021756256
744	2.020959937
745	2.020190715
746	2.018629827
747	2.018430203
748	2.017350238
749	2.016798004
750	2.015285605
751	2.014386938
752	2.013777727
753	2.012714659
754	2.012225268
755	2.011338316
756	2.010825446
757	2.010255239
758	2.009972594
759	2.008652767
760	2.007956202
761	2.007413021
762	2.006635079
763	2.006108044
764	2.00495694
765	2.004247316
766	2.003565656
767	2.002069235
768	2.001248031
769	2.000985786
770	2.000180005
771	1.999531285
772	1.999212943
773	1.99869476
774	1.997738174
775	1.996155906
776	1.994603106
777	1.993737369
778	1.992794222
779	1.99034049
780	1.99007664
781	1.989126063
782	1.98779278
783	1.98622932
784	1.984339552
785	1.983477137
786	1.982237239
787	1.981531119
788	1.979258767
789	1.978207454
790	1.97668157
791	1.975859632
792	1.975408217
793	1.974777037
794	1.974474852
795	1.973230654
796	1.972456032
797	1.971833532
798	1.970679993
799	1.970415378
800	1.969406812
801	1.968945174
802	1.968501176
803	1.967984299
804	1.966203272
805	1.966112878
806	1.965604425
807	1.96476104
808	1.964418751
809	1.963827493
810	1.962639653
811	1.961543078
812	1.960099685
813	1.959480053
814	1.958411051
815	1.957718007
816	1.957116361
817	1.956768596
818	1.955755797
819	1.955279973
820	1.954533674
821	1.953315141
822	1.952112269
823	1.951815948
824	1.950678271
825	1.950650365
826	1.949682225
827	1.949166223
828	1.947691952
829	1.947002829
830	1.946174614
831	1.945810566
832	1.944854306
833	1.944563331
834	1.943098623
835	1.942963666
836	1.941453969
837	1.940854931
838	1.939300235
839	1.938315684
840	1.937348741
841	1.935937021
842	1.935664929
843	1.93402069
844	1.932097927
845	1.930228847
846	1.928995745
847	1.928151388
848	1.92739969
849	1.925489522
850	1.924125334
851	1.923446137
852	1.922631307
853	1.921961616
854	1.92120875
855	1.920868704
856	1.920548312
857	1.920459932
858	1.920047796
859	1.919889742
860	1.919579925
861	1.91828386
862	1.917771655
863	1.917270724
864	1.916829552
865	1.91597921
866	1.915296124
867	1.915026425
868	1.913378921
869	1.912919535
870	1.912086723
871	1.911672092
872	1.910175022
873	1.908811866
874	1.908267384
875	1.907655313
876	1.906850167
877	1.906594257
878	1.905704409
879	1.904728431
880	1.90368642
881	1.902212663
882	1.902070244
883	1.901731028
884	1.901701576
885	1.901319873
886	1.899493486
887	1.898821807
888	1.898478247
889	1.898161897
890	1.896620845
891	1.896033383
892	1.895375196
893	1.893976834
894	1.893037697
895	1.892003133
896	1.890336396
897	1.888937688
898	1.887858882
899	1.887484557
900	1.886258532
901	1.884916991
902	1.884575718
903	1.884203613
904	1.884082323
905	1.883634098
906	1.883396138
907	1.882452688
908	1.881701148
909	1.880340101
910	1.880174899
911	1.878763369
912	1.878736823
913	1.877470431
914	1.87710345
915	1.876499718
916	1.874980577
917	1.87369904
918	1.872614201
919	1.872168769
920	1.871693898
921	1.8703154
922	1.86910731
923	1.868121487
924	1.867735067
925	1.866785342
926	1.865713129
927	1.865096437
928	1.864394248
929	1.864042655
930	1.863228181
931	1.862878066
932	1.861524983
933	1.860553533
934	1.859893024
935	1.85914781
936	1.858656337
937	1.858221543
938	1.857940401
939	1.85664661
940	1.856404608
941	1.855447757
942	1.854550295
943	1.853991773
944	1.853269626
945	1.853235806
946	1.853152834
947	1.852857107
948	1.851878835
949	1.851582522
950	1.851028929
951	1.850747597
952	1.849235125
953	1.847970966
954	1.847711657
955	1.846791117
956	1.846365157
957	1.845713433
958	1.844828943
959	1.844482406
960	1.843631114
961	1.843005018
962	1.842620137
963	1.841589993
964	1.840933263
965	1.840387061
966	1.839965939
967	1.839087169
968	1.837982927
969	1.837459586
970	1.836867815
971	1.835575138
972	1.835190105
973	1.834137007
974	1.83230632
975	1.831952822
976	1.831389314
977	1.830862274
978	1.829697584
979	1.829581971
980	1.829194581
981	1.829037078
982	1.828225525
983	1.828049865
984	1.827772991
985	1.827608974
986	1.825568313
987	1.824919003
988	1.824364407
989	1.824125764
990	1.823315472
991	1.82271175
992	1.820904197
993	1.819689311
994	1.819509881
995	1.818714304
996	1.817794918
997	1.817427742
998	1.81713697
999	1.816635144
